Area,Method,Pokémon,Min Level,Max Level
Route 127,Grass,golisopod,42,47
Route 127,Grass,jumpluff,42,47
Route 127,Grass,iron valiant,42,47
Route 127,Grass,scream tail,42,47
Route 128,Grass,pangoro,45,50
Route 128,Grass,flamigo,45,50
Route 128,Grass,cyclizar,45,50
Route 128,Grass,doublade,45,50
Route 128,Grass,noivern,45,50
Route 128,Grass,vileplume,45,50
Route 128,Grass,bellosom,45,50
Route 128,Grass,coalossal,45,50
Route 128,Grass,drifblim,45,50
Route 128,Grass,haxorus,45,50
Route 128,Grass,nihilego,45,50
Route 128,Grass,nihilego,45,50
Route 129,Grass,breloom,45,50
Route 129,Grass,kilowattrel,45,50
Route 129,Grass,alakazam,45,50
Route 129,Grass,gothitelle,45,50
Route 129,Grass,dugtrio-alola,45,50
Route 129,Grass,bewear,45,50
Route 129,Grass,girafarig,45,50
Route 129,Grass,mandibuzz,45,50
Route 129,Grass,braviary,45,50
Route 129,Grass,braviary-hisui,45,50
Route 129,Grass,luxray,45,50
Route 129,Grass,luxray,45,50
Evergrande City,Grass,electivire,60,65
Evergrande City,Grass,magmortar,60,65
Evergrande City,Grass,lokix,60,65
Evergrande City,Grass,lycanroc,60,65
Evergrande City,Grass,avalugg,60,65
Evergrande City,Grass,avalugg-hisui,60,65
Evergrande City,Grass,bisharp,60,65
Evergrande City,Grass,excadrill,60,65
Evergrande City,Grass,bronzong,60,65
Evergrande City,Grass,dusknoir,60,65
Evergrande City,Grass,magearna,60,65
Petalburg Woods,Dungeon,caterpie,5,6
Petalburg Woods,Dungeon,taillow,5,6
Petalburg Woods,Dungeon,zigzagoon,5,6
Petalburg Woods,Dungeon,exeggcute,5,6
Petalburg Woods,Dungeon,hoothoot,5,6
Petalburg Woods,Dungeon,weedle,5,6
Petalburg Woods,Dungeon,skwovet,5,6
Petalburg Woods,Dungeon,swinub,5,6
Petalburg Woods,Dungeon,purrloin,5,6
Petalburg Woods,Dungeon,toedscool,5,6
Petalburg Woods,Dungeon,pansage,5,6
Petalburg Woods,Dungeon,pansage,5,6
Rusturf Tunnel,Cave,whismur,6,8
Rusturf Tunnel,Cave,geodude,6,8
Rusturf Tunnel,Cave,gastly,6,8
Rusturf Tunnel,Cave,dwebble,6,8
Rusturf Tunnel,Cave,bronzor,6,8
Rusturf Tunnel,Cave,ekans,6,8
Rusturf Tunnel,Cave,sandygast,6,8
Rusturf Tunnel,Cave,sandshrew,6,8
Rusturf Tunnel,Cave,mareep,6,8
Rusturf Tunnel,Cave,magnemite,6,8
Rusturf Tunnel,Cave,nacli,6,8
Rusturf Tunnel,Cave,duskull,6,8
Granite Cave 1F,Cave,diglett,12,17
Granite Cave 1F,Cave,makuhita,12,17
Granite Cave 1F,Cave,patrat,12,17
Granite Cave 1F,Cave,dunsparce,12,17
Granite Cave 1F,Cave,yungoos,12,17
Granite Cave 1F,Cave,grubbin,12,17
Granite Cave 1F,Cave,mienfoo,12,17
Granite Cave 1F,Cave,koffing,12,17
Granite Cave 1F,Cave,jigglypuff,12,17
Granite Cave 1F,Cave,venonat,12,17
Granite Cave 1F,Cave,hisuian zorua,12,17
Granite Cave 1F,Cave,hisuian zorua,12,17
Granite Cave B1F,Cave,scraggy,12,17
Granite Cave B1F,Cave,aron,12,17
Granite Cave B1F,Cave,gligar,12,17
Granite Cave B1F,Cave,misdreavus,12,17
Granite Cave B1F,Cave,woobat,12,17
Granite Cave B1F,Cave,sandile,12,17
Granite Cave B1F,Cave,farfetchd galar,12,17
Granite Cave B1F,Cave,meditite,12,17
Granite Cave B1F,Cave,yamask,12,17
Granite Cave B1F,Cave,diglett alolan,12,17
Granite Cave B1F,Cave,sableye,12,17
Granite Cave B1F,Cave,shuppet,12,17
Granite Cave B2F,Cave,mankey,12,17
Granite Cave B2F,Cave,natu,12,17
Granite Cave B2F,Cave,mawile,12,17
Granite Cave B2F,Cave,zubat,12,17
Granite Cave B2F,Cave,kricketot,12,17
Granite Cave B2F,Cave,clefairy,12,17
Granite Cave B2F,Cave,drilbur,12,17
Granite Cave B2F,Cave,emolga,12,17
Granite Cave B2F,Cave,hippopotas,12,17
Granite Cave B2F,Cave,alolan rattata,12,17
Granite Cave B2F,Cave,zorua,12,17
Granite Cave B2F,Cave,zorua,12,17
Granite Cave Steven,Cave,pikachu,12,17
Granite Cave Steven,Cave,sawk,12,17
Granite Cave Steven,Cave,throh,12,17
Granite Cave Steven,Cave,stufful,12,17
Granite Cave Steven,Cave,spoink,12,17
Granite Cave Steven,Cave,munna,12,17
Granite Cave Steven,Cave,swirlix,12,17
Granite Cave Steven,Cave,morelull,12,17
Granite Cave Steven,Cave,smoochum,12,17
Granite Cave Steven,Cave,paras,12,17
Granite Cave Steven,Cave,beldum,12,17
Granite Cave Steven,Cave,beldum,12,17
Fiery Path,Cave,slugma,22,24
Fiery Path,Cave,darumaka,22,24
Fiery Path,Cave,galarian ponyta,22,24
Fiery Path,Cave,sizzlipede,22,24
Fiery Path,Cave,salandit,22,24
Fiery Path,Cave,litleo,22,24
Fiery Path,Cave,tauros blaze,22,24
Fiery Path,Cave,stunky,22,24
Fiery Path,Cave,torkoal,22,24
Fiery Path,Cave,hisuian growlithe,22,24
Fiery Path,Cave,bagon,22,24
Fiery Path,Cave,dreepy,22,24
Meteor Falls 1F-1R,Cave,solrock,25,27
Meteor Falls 1F-1R,Cave,lunatone,25,27
Meteor Falls 1F-1R,Cave,pineco,25,27
Meteor Falls 1F-1R,Cave,shuckle,25,27
Meteor Falls 1F-1R,Cave,cetoddle,25,27
Meteor Falls 1F-1R,Cave,pancham,25,27
Meteor Falls 1F-1R,Cave,gothita,25,27
Meteor Falls 1F-1R,Cave,morpeko,25,27
Meteor Falls 1F-1R,Cave,eiscue,25,27
Meteor Falls 1F-1R,Cave,minior,25,27
Meteor Falls 1F-1R,Cave,cyclizar,25,27
Meteor Falls 1F-1R,Cave,varoom,25,27
Meteor Falls 1F-2R,Cave,cyclizar,25,27
Meteor Falls 1F-2R,Cave,aerodactyl,25,27
Meteor Falls 1F-2R,Cave,bombirdier,25,27
Meteor Falls 1F-2R,Cave,aromatisse,25,27
Meteor Falls 1F-2R,Cave,carbink,25,27
Meteor Falls 1F-2R,Cave,absol,25,27
Meteor Falls 1F-2R,Cave,rhydon,25,27
Meteor Falls 1F-2R,Cave,lycanroc,25,27
Meteor Falls 1F-2R,Cave,orthworm,25,27
Meteor Falls 1F-2R,Cave,falinks,25,27
Meteor Falls 1F-2R,Cave,jirachi,25,27
Meteor Falls 1F-2R,Cave,jirachi,25,27
Meteor Falls B1F-1R,Cave,cyclizar,50,55
Meteor Falls B1F-1R,Cave,aerodactyl,50,55
Meteor Falls B1F-1R,Cave,bombirdier,50,55
Meteor Falls B1F-1R,Cave,aromatisse,50,55
Meteor Falls B1F-1R,Cave,carbink,50,55
Meteor Falls B1F-1R,Cave,absol,50,55
Meteor Falls B1F-1R,Cave,rhydon,50,55
Meteor Falls B1F-1R,Cave,lycanroc,50,55
Meteor Falls B1F-1R,Cave,orthworm,50,55
Meteor Falls B1F-1R,Cave,falinks,50,55
Meteor Falls B1F-1R,Cave,jirachi,50,55
Meteor Falls B1F-1R,Cave,jirachi,50,55
Meteor Falls B1F-2R,Cave,dragonair,50,55
Meteor Falls B1F-2R,Cave,pupitar,50,55
Meteor Falls B1F-2R,Cave,shelgon,50,55
Meteor Falls B1F-2R,Cave,gabite,50,55
Meteor Falls B1F-2R,Cave,sliggoo-hisui,50,55
Meteor Falls B1F-2R,Cave,sliggoo,50,55
Meteor Falls B1F-2R,Cave,zweilous,50,55
Meteor Falls B1F-2R,Cave,hakamo-o,50,55
Meteor Falls B1F-2R,Cave,drakloak,50,55
Meteor Falls B1F-2R,Cave,arctibax,50,55
Meteor Falls B1F-2R,Cave,jirachi,50,55
Meteor Falls B1F-2R,Cave,jirachi,50,55
Jagged Pass,Cave,doduo,25,27
Jagged Pass,Cave,applin,25,27
Jagged Pass,Cave,spiritomb,25,27
Jagged Pass,Cave,electabuzz,25,27
Jagged Pass,Cave,audino,25,27
Jagged Pass,Cave,darumaka galar,25,27
Jagged Pass,Cave,solosis,25,27
Jagged Pass,Cave,cubchoo,25,27
Jagged Pass,Cave,honedge,25,27
Jagged Pass,Cave,Bonsly,25,27
Jagged Pass,Cave,ferroseed,25,27
Jagged Pass,Cave,heatmor,25,27
Mirage Tower 1F,Dungeon,meowth,30,35
Mirage Tower 1F,Dungeon,Sigilyph,30,35
Mirage Tower 1F,Dungeon,Chingling,30,35
Mirage Tower 1F,Dungeon,girafarig,30,35
Mirage Tower 1F,Dungeon,stunfisk-galar,30,35
Mirage Tower 1F,Dungeon,Spritzee,30,35
Mirage Tower 1F,Dungeon,Carbink,30,35
Mirage Tower 1F,Dungeon,ditto,30,35
Mirage Tower 1F,Dungeon,iron bundle,30,35
Mirage Tower 1F,Dungeon,brute bonnet,30,35
Mirage Tower 1F,Dungeon,iron treads,30,35
Mirage Tower 2F,Dungeon,great tusk,30,35
Mirage Tower 2F,Dungeon,lickitung,30,35
Mirage Tower 2F,Dungeon,qwilfish-hisuian,30,35
Mirage Tower 2F,Dungeon,Absol,30,35
Mirage Tower 2F,Dungeon,Elgyem,30,35
Mirage Tower 2F,Dungeon,Furfrou,30,35
Mirage Tower 2F,Dungeon,Pumpkaboo,30,35
Mirage Tower 2F,Dungeon,Bergmite,30,35
Mirage Tower 2F,Dungeon,Passimian,30,35
Mirage Tower 2F,Dungeon,Turtonator,30,35
Mirage Tower 2F,Dungeon,flutter mane,30,35
Mirage Tower 2F,Dungeon,iron hands,30,35
Mirage Tower 2F,Dungeon,scream tail,30,35
Mirage Tower 3F,Dungeon,rhyhorn,30,35
Mirage Tower 3F,Dungeon,wynaut,30,35
Mirage Tower 3F,Dungeon,Pachirisu,30,35
Mirage Tower 3F,Dungeon,Litwick,30,35
Mirage Tower 3F,Dungeon,Inkay,30,35
Mirage Tower 3F,Dungeon,Phantump,30,35
Mirage Tower 3F,Dungeon,Noibat,30,35
Mirage Tower 3F,Dungeon,Comfey,30,35
Mirage Tower 3F,Dungeon,Oranguru,30,35
Mirage Tower 3F,Dungeon,iron moth,30,35
Mirage Tower 3F,Dungeon,iron jugulis,30,35
Mirage Tower 3F,Dungeon,slither wing,30,35
Mirage Tower 4F,Dungeon,kangaskhan,30,35
Mirage Tower 4F,Dungeon,unown,30,35
Mirage Tower 4F,Dungeon,Klink,30,35
Mirage Tower 4F,Dungeon,Cryogonal,30,35
Mirage Tower 4F,Dungeon,Espurr,30,35
Mirage Tower 4F,Dungeon,Klefki,30,35
Mirage Tower 4F,Dungeon,Mimikyu,30,35
Mirage Tower 4F,Dungeon,Drampa,30,35
Mirage Tower 4F,Dungeon,iron valiant,30,35
Mirage Tower 4F,Dungeon,sandy shocks,30,35
Mirage Tower 4F,Dungeon,iron thorns,30,35
Mirage Tower 4F,Dungeon,roaring moon,30,35
Desert Underpass,Cave,omanyte,30,32
Desert Underpass,Cave,kabuto,30,32
Desert Underpass,Cave,cranidos,30,32
Desert Underpass,Cave,shieldon,30,32
Desert Underpass,Cave,tirtouga,30,32
Desert Underpass,Cave,archen,30,32
Desert Underpass,Cave,tyrunt,30,32
Desert Underpass,Cave,amaura,30,32
Desert Underpass,Cave,arctozolt,30,32
Desert Underpass,Cave,arctovish,30,32
Desert Underpass,Cave,dracovish,30,32
Desert Underpass,Cave,dracozolt,30,32
Island Cave,Cave,Bergmite,25,30
Island Cave,Cave,snorunt,25,30
Island Cave,Cave,darumaka-galar,25,30
Ancient Tomb,Dungeon,Varoom,25,30
Ancient Tomb,Dungeon,Beldum,25,30
Ancient Tomb,Dungeon,Metang,25,30
Ancient Tomb,Dungeon,Pawniard,25,30
Desert Ruins,Dungeon,Rhyhorn,25,30
Desert Ruins,Dungeon,Axew,25,30
Desert Ruins,Dungeon,Drilbur,25,30
New Mauville,Dungeon,Voltorb,25,30
New Mauville,Dungeon,Voltorb-Hisuian,25,30
New Mauville,Dungeon,Yamper,25,30
New Mauville,Dungeon,Togedemaru,25,30
New Mauville,Dungeon,Dedenne,25,30
New Mauville,Dungeon,Minccino,25,30
New Mauville,Dungeon,porygon,25,30
New Mauville,Dungeon,trubbish,25,30
New Mauville,Dungeon,Pincurchin,25,30
New Mauville,Dungeon,Tadbulb,25,30
New Mauville,Dungeon,Rotom,25,30
New Mauville,Dungeon,Duraludon,25,30
Mt. Pyre 1F,Cave,dreepy,35,40
Mt. Pyre 1F,Cave,shuppet,35,40
Mt. Pyre 1F,Cave,banette,35,40
Mt. Pyre 1F,Cave,yamask,35,40
Mt. Pyre 1F,Cave,yamask-galar,35,40
Mt. Pyre 1F,Cave,cofagrigus,35,40
Mt. Pyre 1F,Cave,runerigus,35,40
Mt Pyre 2F,Cave,yamask,35,40
Mt Pyre 2F,Cave,yamask-galar,35,40
Mt Pyre 2F,Cave,cofagrigus,35,40
Mt Pyre 2F,Cave,runerigus,35,40
Mt Pyre 2F,Cave,haunter,35,40
Mt Pyre 2F,Cave,haunter,35,40
Mt Pyre 2F,Cave,zorua-hisui,35,40
Mt Pyre 2F,Cave,lampent,35,40
Mt Pyre 2F,Cave,chandelure,35,40
Mt Pyre 2F,Cave,marowak-alola,35,40
Mt. Pyre 3F,Cave,gimmighoul-R,35,40
Mt. Pyre 3F,Cave,chingling,35,40
Mt. Pyre 3F,Cave,golett,35,40
Mt. Pyre 3F,Cave,inkay,35,40
Mt. Pyre 3F,Cave,elgyem,35,40
Mt. Pyre 3F,Cave,mimikyu,35,40
Mt. Pyre 3F,Cave,flutter mane,35,40
Mt. Pyre 3F,Cave,brute bonnet,35,40
Mt. Pyre 4F,Cave,duosion,35,40
Mt. Pyre 4F,Cave,scrafty,35,40
Mt. Pyre 4F,Cave,zorua,35,40
Mt. Pyre 4F,Cave,murkrow,35,40
Mt. Pyre 4F,Cave,linoone-galar,35,40
Mt. Pyre 4F,Cave,spiritomb,35,40
Mt. Pyre 4F,Cave,bisharp,35,40
Mt. Pyre 4F,Cave,roaring moon,35,40
Mt. Pyre 5F,Cave,swoobat,35,40
Mt. Pyre 5F,Cave,misdreavus,35,40
Mt. Pyre 5F,Cave,noctowl,35,40
Mt. Pyre 5F,Cave,raticate alola,35,40
Mt. Pyre 5F,Cave,grumpig,35,40
Mt. Pyre 5F,Cave,rotom,35,40
Mt. Pyre 5F,Cave,iron jugulis,35,40
Mt. Pyre 6F,Cave,sinistcha,35,40
Mt. Pyre 6F,Cave,polteageist,35,40
Mt. Pyre 6F,Cave,mabostiff,35,40
Mt. Pyre 6F,Cave,bombirdier,35,40
Mt. Pyre 6F,Cave,ceruledge,35,40
Mt. Pyre 6F,Cave,armarouge,35,40
Mt. Pyre 6F,Cave,pecharunt,35,40
Mt. Pyre Exterior,Cave,marowak,35,40
Mt. Pyre Exterior,Cave,golurk,35,40
Mt. Pyre Exterior,Cave,pupitar,35,40
Mt. Pyre Exterior,Cave,sableye,35,40
Mt. Pyre Exterior,Cave,sneasel,35,40
Mt. Pyre Exterior,Cave,weavile,35,40
Mt. Pyre Exterior,Cave,pecharunt,35,40
Mt. Pyre Summit,Cave,drifblim,35,40
Mt. Pyre Summit,Cave,grimer alola,35,40
Mt. Pyre Summit,Cave,bramblin,35,40
Mt. Pyre Summit,Cave,primeape,35,40
Mt. Pyre Summit,Cave,gabite,35,40
Mt. Pyre Summit,Cave,pecharunt,35,40
Magma Hideout 1F,Dungeon,graveler,40,50
Magma Hideout 1F,Dungeon,graveler-alola,40,50
Magma Hideout 1F,Dungeon,magmar,40,50
Magma Hideout 1F,Dungeon,coalossal,40,50
Magma Hideout 1F,Dungeon,heatmor,40,50
Magma Hideout 1F,Dungeon,ceruledge,40,50
Magma Hideout 1F,Dungeon,armarouge,40,50
Magma Hideout 1F,Dungeon,Chi-Yu,40,50
Magma Hideout 1F,Dungeon,Ting-Lu,40,50
Magma Hideout 2F-1R,Dungeon,darmanitan,40,50
Magma Hideout 2F-1R,Dungeon,krookodile,40,50
Magma Hideout 2F-1R,Dungeon,chandelure,40,50
Magma Hideout 2F-1R,Dungeon,steelix,40,50
Magma Hideout 2F-1R,Dungeon,ceruledge,40,50
Magma Hideout 2F-1R,Dungeon,armarouge,40,50
Magma Hideout 2F-1R,Dungeon,Chi-Yu,40,50
Magma Hideout 2F-1R,Dungeon,Ting-Lu,40,50
Magma Hideout 2F-2R,Dungeon,darmanitan,40,50
Magma Hideout 2F-2R,Dungeon,krookodile,40,50
Magma Hideout 2F-2R,Dungeon,chandelure,40,50
Magma Hideout 2F-2R,Dungeon,steelix,40,50
Magma Hideout 2F-2R,Dungeon,ceruledge,40,50
Magma Hideout 2F-2R,Dungeon,armarouge,40,50
Magma Hideout 2F-2R,Dungeon,Chi-Yu,40,50
Magma Hideout 2F-2R,Dungeon,Ting-Lu,40,50
Magma Hideout 2F-3R,Dungeon,darmanitan,40,50
Magma Hideout 2F-3R,Dungeon,krookodile,40,50
Magma Hideout 2F-3R,Dungeon,chandelure,40,50
Magma Hideout 2F-3R,Dungeon,steelix,40,50
Magma Hideout 2F-3R,Dungeon,ceruledge,40,50
Magma Hideout 2F-3R,Dungeon,armarouge,40,50
Magma Hideout 2F-3R,Dungeon,Chi-Yu,40,50
Magma Hideout 2F-3R,Dungeon,Ting-Lu,40,50
Magma Hideout 3F-1R,Dungeon,houndoom,40,50
Magma Hideout 3F-1R,Dungeon,arcanine,40,50
